meal repellent, environs nice, 0
silverware repellant, cashier fast, 0
staff quick, organisation good, 1
cost overdone, payment overstated, 1
article of furniture big, furniture bad, 1
piece of furniture big, ventilating system outstanding, 0
potable red-hot, dish succulent, 1
terms high-priced, prices overpriced, 1
damage overstated, air conditioning big, 0
environment terrible, cookery okay, 0
ventilation tolerable, area safe, 0
music big, environment boring, 1
faculty likable, waiters good, 1
background horrible, payment overstated, 0
defrayal expensive, defrayment overpriced, 1
chicken delicious, boozing interesting, 1
drinking glass shining, pizza insipid, 0
parking area available, atmosphere fantabulous, 0
meal well seasoned, dinner party savory, 1
reference life-threatening, area nigh, 0
region secure, cost good, 0
cost high, rice fantabulous, 0
server not so helpful, waitress knowledgable, 0
lighting bad, location life-threatening, 0
reference good, area touristy, 1
property dangerous, country dark, 1
piece of furniture big, frontal unsparing, 0
euphony good, environs happy, 1
place empty, parking area free, 1
soup high quality, region polluted, 0
parking space available, server well-disposed, 0
parking area unavailable, parking lot narrow, 1
ambience terrible, reference life-threatening, 0
card okay, cooking red-hot, 1
place dangerous, cost exaggerated, 0
fish delicious, intellectual nourishment high quality, 0
utensils disgustful, tables loathsome, 1
organisation not professional, eating utensil repellant, 0
organisation not so helpful, location safe, 0
cost overpriced, damage costly, 1
place hard to find, payment method not too expensive, 0
tiffin healthy, country serious, 0
defrayment pricey, tray in bad shape, 0
toll low, staff likable, 0
sideboard unsparing, drunkenness red-hot, 0
eating utensil lucullan, area remote, 0
article of furniture excellent, property empty, 0
parking lot usable, parking lot poor, 0
terms overstated, defrayment exaggerated, 1
ambience enough, article of furniture first-class, 1
region dangerous, reference far, 1
damage not too expensive, damage low, 1
environs relaxing, atmosphere pleasant, 1
price fair, tray very clean, 0
crotch repellant, utensils disgustful, 1
area trustable, region nigh, 1
staff fast, payment low, 0
organization friendly, counter too-generous, 0
ambiance informal, area nigh, 0
parking space poor, area dangerous, 0
waiters well trained, spoon greasy, 0
background sad, parking space small, 0
place nigh, environs pleasant, 0
parking area hard to find, location nigh, 0
room loathsome, tables loathsome, 1
location remote, sideboard yucky, 0
cutlery munificent, reference touristy, 0
luncheon high quality, breakfast good for you, 1
admission salubrious, music tolerable, 0
afters salubrious, place hard to find, 0
frontage very clean, place trustable, 0
dish too-generous, environs big, 0
region remote, country dangerous, 1
defrayment good, defrayal low, 1
place small, parking lot poor, 1
parking space hard to find, place useable, 0
cost affordable, ambience great, 0
defrayment fair, payment not too expensive, 1
waitress not so helpful, line very slow, 1
parking area small, damage cheap, 0
parking space narrow, area trustable, 0
furniture oleaginous, payment high, 0
service not so helpful, payment overdone, 0
glasses unsparing, cutlery shining, 1
damage not too expensive, parking lot empty, 0
euphony soothing, air conditioning sophisticated, 1
property racy, hygiene in bad shape, 0
region grievous, cashier high quality, 0
terms high-priced, payment overpriced, 1
ventilation system tolerable, parking space unavailable, 0
property empty, setting big, 0
waiter well-disposed, drinks salubrious, 0
country unsecure, dinner repellent, 0
carte du jour repellent, cashier smiling, 0
location secure, damage acceptable, 0
air conditioner noisy, parking repellant, 0
furniture excellent, property great, 1
parking area free, meals luscious, 0
defrayment overpriced, price pricey, 1
