utensils very clean, drink savory, 0
waitresses grumpy, atmosphere relaxing, 0
meat bad, lunch flavorless, 1
area touristy, payment method hot, 0
location dangerous, location dark, 1
air conditioning happy, location secure, 0
breakfast excellent, parking available, 0
ambiance terrible, ambiance fancy, 0
prices overpriced, cashier bad, 0
payment method good, lunch perfectly cooked, 0
dish very clean, hygiene very clean, 1
place touristy, location safe, 1
price hot, area remote, 0
area trustable, location safe, 1
experience beautiful, place good, 1
utensils in bad shape, music charming, 0
air conditioner crowded, snack unappetizing, 0
parking area large, dishes high quality, 0
environment horrible, waiters very slow, 0
address unsecure, place dark, 1
area dangerous, address remote, 1
dish healthy, lunch high quality, 1
area polluted, address remote, 1
place lively, parking available, 0
location good, area lively, 1
waitresses high quality, line not so helpful, 0
utensils impeccable, main course flavorless, 0
food organic, pasta high quality, 1
parking area small, area bad, 0
ambiance bad, entree flavorless, 0
payment overpriced, payment overpriced, 1
place small, place near, 0
waiters slow, line slow, 1
payment method high, price overpriced, 1
parking lot narrow, parking space small, 1
air conditioner depressing, experience bad taste, 1
parking area large, payment method costly, 0
place secure, waitresses fast, 0
parking lot empty, parking space safe, 1
bathroom not washed, cutlery disgusting, 1
experience soothing, air conditioner calming, 1
air conditioning boring, ambiance crowded, 1
parking area narrow, entree organic, 0
music noisy, area remote, 0
place bad, location near, 0
waiters grumpy, cost exaggerated, 0
soup yummy, main course yummy, 1
place empty, air conditioning relaxing, 0
staff slow, cost not too expensive, 0
parking area empty, parking space safe, 1
address remote, location touristy, 0
parking space poor, meal delicious, 0
atmosphere dark, cuisine tasty, 0
main course awful, parking space safe, 0
parking available, place empty, 1
parking space unavailable, parking free, 0
service not so helpful, air conditioning crowded, 0
cutlery bright, chairs very clean, 1
place lively, address safe, 1
atmosphere good, meal savory, 0
address safe, location safe, 1
area remote, experience depressing, 0
ambiance happy, air conditioner beautiful, 1
ambiance bad, air conditioner noisy, 1
area remote, place unsafe, 1
entree very spicy, cashier quick, 0
buffet very clean, place remote, 0
hall very clean, payment method high, 0
location touristy, area near, 1
staff not so helpful, price acceptable, 0
atmosphere uncomfortable, air conditioning boring, 1
cashier grumpy, payment method acceptable, 0
cutlery lavish, cutlery clean, 1
line fast, line well trained, 1
dish high quality, payment method expensive, 0
air conditioner good, payment method fair, 0
air conditioning great, music sophisticated, 1
payment method good, parking space narrow, 0
parking space free, place available, 1
parking area poor, ambiance sophisticated, 0
waiter not so helpful, utensils disgusting, 0
waiter well trained, service friendly, 1
rice very spicy, payment method good, 0
parking lot available, waiters good, 0
parking area available, snack well seasoned, 0
cashier well trained, waiters knowledgable, 1
place in bad shape, place dark, 0
staff knowledgable, waiters high quality, 1
parking lot small, place hard to find, 1
parking lot poor, air conditioner boring, 0
waiters high quality, parking lot unavailable, 0
music calming, location far, 0
experience beautiful, payment method overpriced, 0
salad excellent, payment high, 0
cost cheap, main dish interesting, 0
drink healthy, utensils greasy, 0
place remote, area polluted, 1
organization knowledgable, services very slow, 0
glasses greasy, table not washed, 1
music sad, line slow, 0
entree high quality, cost expensive, 0
setting nice, services knowledgable, 0
food high quality, parking space small, 0
cost overpriced, air conditioning bad taste, 0
location unsecure, cutlery luxurious, 0
parking lot safe, waiters horrible, 0
facade very clean, prices overpriced, 0
cost exaggerated, waiters bad, 0
pizza very spicy, dinner very spicy, 1
cashier knowledgable, organization good, 1
staff very slow, cashier horrible, 1
payment method fair, entree savory, 0
food boring, staff bad, 0
salad high quality, glass very clean, 0
dishes high quality, place safe, 0
parking lot narrow, snack succulent, 0
chicken yummy, air conditioning crowded, 0
music soothing, cashier helpful, 0
payment method good, waiters not so helpful, 0
entree high quality, air conditioner adequate, 0
place good, pizza high quality, 0
place good, room white clean, 0
utensils greasy, address unsecure, 0
area bad, area dark, 1
kitchen in bad shape, fork in bad shape, 1
main course excellent, cuisine savory, 1
place horrible, environment dark, 1
cost exaggerated, cost costly, 1
parking space small, service friendly, 0
hygiene in bad shape, chair impeccable, 0
meat high quality, chicken cold, 0
entree very spicy, price hot, 0
price overpriced, parking free, 0
payment high, cost costly, 1
experience attractive, place narrow, 0
cutlery bright, location downtown, 0
parking lot free, parking space safe, 1
parking area large, lighting adequate, 0
steak flavorless, line slow, 0
environment uncomfortable, area dangerous, 0
parking greasy, steak high quality, 0
parking lot available, parking lot free, 1
cost costly, cost expensive, 1
chicken delicious, payment method good, 0
ambiance adequate, payment method expensive, 0
silverware impeccable, parking space available, 0
atmosphere crowded, experience depressing, 1
ambiance excellent, setting terrible, 0
meal high quality, place popular, 0
utensils clean, table washed, 1
area safe, payment good, 0
place unsecure, area lively, 0
place empty, parking space large, 1
atmosphere terrible, air conditioner horrible, 1
experience memorable, air conditioner beautiful, 1
waiters likable, waitresses fast, 1
cost overpriced, cost expensive, 1
payment method high, cost expensive, 1
parking area unavailable, parking lot narrow, 1
cost fair, payment low, 1
address unsecure, parking available, 0
organization grumpy, waiters grumpy, 1
staff friendly, glass shining, 0
air conditioning sad, glass clean, 0
snack savory, air conditioner sad, 0
area polluted, ambiance cozy, 0
price affordable, payment method not too expensive, 1
place hard to find, parking area large, 0
chairs in bad shape, trays greasy, 1
parking available, parking area unavailable, 0
parking lot available, atmosphere noisy, 0
services not professional, cashier friendly, 0
area popular, parking space large, 0
place safe, services knowledgable, 0
address good, address safe, 1
pizza okay, place good, 0
address remote, payment method costly, 0
food organic, parking free, 0
area dark, line bad, 0
knife greasy, parking area narrow, 0
waiters high quality, line well trained, 1
